Choice	Earning
B		1000000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1000
B		1000000
B		1000000
AB		1001000
AB		1000
B		1000000
B		1000000
AB		1000
AB		1000
B		1000000
AB		1000
AB		1000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1000
B		1000000
AB		1001000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1000
AB		1000
B		1000000
B		1000000
AB		1000
AB		1000
B		1000000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1000
AB		1000
B		1000000
AB		1001000
B		1000000
B		1000000
B		1000000
AB		1000
B		1000000
AB		1000
AB		1000
AB		1000
B		1000000
B		1000000
B		1000000
AB		1000
AB		1000
B		1000000
AB		1000
AB		1000
AB		1001000
B		1000000
B		1000000
B		1000000
B		0
AB		1000
AB		1000
AB		1000
B		1000000
B		0
AB		1000
B		0
B		1000000
B		1000000
AB		1000
B		1000000
B		0
AB		1000
B		1000000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
B		1000000
AB		1000
B		0
AB		1000
AB		1000
B		0
AB		1000
AB		1000
B		0
AB		1000
AB		1000
B		1000000
B		0
AB		1001000
AB		1000
B		1000000
B		1000000
B		1000000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1000
AB		1000
AB		1000
B		1000000
B		1000000
B		1000000
B		1000000
B		1000000
B		1000000
B		1000000
AB		1000
B		1000000
B		1000000
B		1000000
AB		1000
AB		1000
B		1000000
B		0
AB		1000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1000
B		1000000
B		1000000
B		1000000
B		1000000
B		1000000
B		0
B		1000000
AB		1000
B		1000000
AB		1000
AB		1000
AB		1000
B		1000000
B		1000000
B		1000000
AB		1000
B		0
AB		1000
AB		1000
B		1000000
AB		1000
B		1000000
B		0
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1001000
B		1000000
AB		1000
B		1000000
B		1000000
B		1000000
B		1000000
B		1000000
B		1000000
AB		1000
AB		1000
B		1000000
AB		1000
B		0
B		1000000
B		1000000
AB		1000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1001000
AB		1000
B		1000000
B		1000000
AB		1000
AB		1000
B		0
AB		1000
B		1000000
B		1000000
AB		1001000
AB		1000
B		1000000
B		1000000
AB		1000
AB		1000
B		1000000
B		1000000
B		1000000
B		1000000
AB		1000
B		1000000
AB		1000
AB		1000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1000
B		1000000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
AB		1000
B		1000000
AB		1000
B		1000000
AB		1000
AB		1000
B		1000000
AB		1000
B		1000000
B		1000000
B		0
AB		1000
B		1000000
B		1000000
AB		1000
B		0
AB		1001000
B		1000000
AB		1000
AB		1000
B		1000000
B		1000000
AB		1000
AB		1001000
AB		1000
B		1000000
AB		1000
B		1000000
AB		1000
B		1000000
AB		1000
AB		1001000
AB		1000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
AB		1000
B		0
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
AB		1000
B		1000000
AB		1000
AB		1000
B		1000000
B		1000000
B		1000000
B		1000000
B		1000000
B		1000000
B		1000000
AB		1000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1000
AB		1001000
B		1000000
B		1000000
AB		1000
B		0
B		1000000
B		1000000
B		1000000
B		1000000
B		1000000
B		1000000
B		1000000
B		1000000
AB		1000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1001000
B		1000000
B		1000000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1000
B		1000000
B		1000000
B		1000000
B		1000000
B		1000000
AB		1000
AB		1001000
B		1000000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
AB		1000
B		1000000
AB		1000
AB		1000
B		1000000
B		1000000
B		1000000
B		1000000
B		1000000
AB		1000
AB		1000
B		1000000
B		0
B		1000000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1001000
B		1000000
B		0
B		1000000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
AB		1000
B		1000000
AB		1000
B		1000000
AB		1000
B		1000000
B		1000000
B		1000000
B		1000000
AB		1000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1000
AB		1001000
B		1000000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
B		1000000
B		1000000
B		1000000
B		1000000
B		1000000
B		1000000
AB		1000
AB		1000
B		1000000
B		1000000
AB		1000
B		1000000
B		1000000
B		1000000
AB		1000
AB		1000
AB		1001000
AB		1000
B		1000000
B		1000000
AB		1001000
B		1000000
AB		1000
AB		1000
B		1000000
AB		1000
B		1000000
AB		1000
B		1000000
AB		1000
AB		1000
B		1000000
B		1000000
B		1000000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1000
AB		1000
B		0
AB		1000
B		1000000
B		1000000
B		1000000
AB		1000
B		1000000
AB		1000
AB		1000
AB		1000
B		1000000
B		1000000
AB		1000
AB		1000
B		1000000
B		1000000
B		1000000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1001000
B		1000000
B		1000000
AB		1000
AB		1000
B		1000000
AB		1000
B		1000000
AB		1000
AB		1001000
B		1000000
B		1000000
AB		1000
AB		1000
B		1000000
B		1000000
AB		1000
B		1000000
AB		1000
B		1000000
B		1000000
B		1000000
B		1000000
AB		1000
AB		1000
AB		1000
B		1000000
B		1000000
B		1000000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
AB		1000
AB		1000
B		1000000
B		1000000
AB		1000
B		1000000
B		1000000
B		1000000
B		1000000
B		1000000
AB		1000
AB		1000
B		1000000
AB		1001000
AB		1000
AB		1000
B		1000000
B		1000000
AB		1000
B		1000000
AB		1000
B		1000000
B		1000000
B		1000000
B		1000000
AB		1000
AB		1001000
AB		1000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1000
AB		1000
B		1000000
B		1000000
AB		1000
AB		1000
B		1000000
B		1000000
AB		1000
AB		1000
B		1000000
B		1000000
B		1000000
B		0
B		1000000
B		1000000
B		1000000
B		1000000
B		1000000
B		1000000
AB		1000
AB		1000
AB		1000
B		1000000
B		1000000
AB		1000
AB		1000
B		1000000
AB		1000
AB		1001000
AB		1000
AB		1000
AB		1000
B		1000000
B		0
B		1000000
AB		1000
AB		1000
B		1000000
B		1000000
AB		1000
B		1000000
AB		1000
AB		1000
AB		1001000
AB		1000
B		1000000
B		0
B		0
B		1000000
AB		1000
B		1000000
AB		1000
AB		1000
B		0
AB		1000
B		1000000
B		1000000
B		1000000
B		1000000
B		1000000
B		1000000
AB		1000
B		1000000
B		1000000
B		1000000
B		0
AB		1001000
B		1000000
AB		1000
B		0
B		1000000
B		1000000
B		1000000
B		1000000
AB		1000
B		0
B		1000000
B		1000000
AB		1001000
AB		1001000
B		0
B		0
AB		1001000
AB		1000
B		1000000
AB		1000
AB		1000
B		1000000
AB		1000
B		1000000
B		1000000
B		1000000
AB		1000
AB		1001000
B		1000000
AB		1000
AB		1000
B		0
AB		1000
B		1000000
B		1000000
AB		1000
AB		1000
B		1000000
B		1000000
B		1000000
AB		1000
B		1000000
B		1000000
B		1000000
B		1000000
B		1000000
AB		1001000
AB		1000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
B		1000000
B		1000000
B		0
B		1000000
B		1000000
B		1000000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1000
AB		1000
B		1000000
AB		1000
AB		1000
B		1000000
B		1000000
AB		1000
B		0
AB		1000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1000
B		1000000
B		1000000
B		1000000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
B		1000000
AB		1001000
B		1000000
AB		1000
AB		1000
B		0
B		1000000
AB		1000
AB		1000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
B		1000000
AB		1000
B		1000000
B		1000000
B		1000000
B		1000000
AB		1000
B		1000000
AB		1000
AB		1000
B		1000000
B		1000000
B		0
AB		1000
AB		1000
B		1000000
AB		1000
AB		1000
B		1000000
AB		1001000
AB		1000
B		1000000
AB		1000
AB		1000
AB		1001000
B		1000000
AB		1000
B		1000000
AB		1000
B		1000000
AB		1000
B		1000000
AB		1000
B		0
B		1000000
B		1000000
B		1000000
B		1000000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
B		1000000
B		1000000
B		1000000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1000
B		1000000
AB		1000
B		1000000
AB		1000
AB		1000
B		1000000
B		0
B		1000000
AB		1000
B		1000000
B		1000000
AB		1000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1000
B		1000000
AB		1000
AB		1000
B		1000000
B		0
AB		1001000
AB		1001000
B		1000000
B		1000000
B		1000000
B		1000000
B		1000000
B		1000000
AB		1000
B		1000000
B		1000000
B		1000000
B		1000000
AB		1000
AB		1000
B		1000000
AB		1001000
B		0
AB		1000
AB		1000
B		1000000
B		0
AB		1000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
B		1000000
AB		1000
B		1000000
B		1000000
B		1000000
AB		1000
AB		1000
B		0
B		0
B		1000000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1000
AB		1000
AB		1000
B		1000000
B		1000000
B		1000000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1000
B		1000000
AB		1000
AB		1000
B		1000000
AB		1000
B		1000000
B		1000000
B		1000000
AB		1000
B		1000000
AB		1001000
B		1000000
AB		1000
AB		1000
B		0
AB		1000
B		1000000
AB		1000
B		0
AB		1000
B		1000000
B		1000000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1000
AB		1000
B		1000000
B		1000000
B		1000000
B		1000000
AB		1000
AB		1000
B		1000000
B		1000000
B		1000000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
B		1000000
AB		1000
AB		1000
AB		1000
B		1000000
B		1000000
B		1000000
AB		1000
B		1000000
B		1000000
B		1000000
B		1000000
AB		1000
B		1000000
B		1000000
B		1000000
B		0
B		1000000
AB		1000
AB		1000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1000
B		1000000
B		1000000
B		1000000
AB		1000
AB		1000
B		1000000
B		0
B		1000000
AB		1000
AB		1000
B		1000000
B		1000000
AB		1000
AB		1000
B		1000000
AB		1000
AB		1000
B		1000000
B		1000000
B		1000000
B		1000000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1000
B		0
B		1000000
B		1000000
B		0
B		1000000
B		1000000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1000
B		1000000
AB		1000
AB		1000
B		1000000
B		0
B		1000000
AB		1000
AB		1000
AB		1001000
B		1000000
AB		1000
AB		1000
B		1000000
AB		1000
AB		1000
B		0
AB		1000
AB		1000
AB		1000
B		1000000
B		1000000
AB		1001000
B		1000000
AB		1000
AB		1000
B		1000000
AB		1000
B		1000000
B		1000000
B		1000000
AB		1000
AB		1001000
B		1000000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1001000
AB		1000
AB		1000
B		0
AB		1000
B		0
AB		1000
B		1000000
AB		1000
B		1000000
B		1000000
B		1000000
B		1000000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1000
AB		1000
B		1000000
B		1000000
B		1000000
B		0
AB		1000
AB		1000
B		1000000
AB		1000
B		1000000
AB		1000
AB		1000
AB		1000
B		1000000
B		0
B		1000000
AB		1001000
AB		1000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1000
B		1000000
AB		1000
B		0
AB		1000
B		1000000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
AB		1000
B		1000000
AB		1000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1000
B		1000000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
B		1000000
AB		1000
B		1000000
AB		1000
B		1000000
B		1000000
B		1000000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1000
AB		1000
AB		1000
B		1000000
B		1000000
B		1000000
B		1000000
AB		1000
B		0
B		1000000
AB		1000
B		1000000
AB		1000
B		1000000
AB		1000
B		0
B		1000000
B		1000000
B		1000000
B		0
AB		1000
AB		1000
AB		1000
AB		1000
B		1000000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
AB		1000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1001000
B		1000000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1000
AB		1000
B		1000000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1000
B		0
AB		1000
B		1000000
AB		1000
AB		1000
AB		1000
B		1000000
B		1000000
AB		1000
AB		1000
B		1000000
B		1000000
AB		1001000
AB		1000
AB		1000
B		1000000
B		1000000
AB		1000
B		1000000
AB		1000
AB		1000
B		1000000
AB		1000
B		1000000
AB		1001000
B		1000000
AB		1000
B		1000000
AB		1000
AB		1001000
AB		1000
B		1000000
AB		1000
B		1000000
B		0
AB		1000
B		1000000
B		1000000
AB		1000
AB		1000
B		1000000
B		1000000
B		0
B		1000000
B		0
B		1000000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1000
AB		1001000
B		1000000
AB		1000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
AB		1000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1000
AB		1000
AB		1000
B		1000000
B		1000000
AB		1000
B		0
B		1000000
AB		1000
AB		1000
AB		1000
AB		1000
AB		1001000
AB		1000
B		1000000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1001000
AB		1001000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1001000
B		1000000
B		1000000
AB		1000
AB		1000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1000
AB		1000
B		0
B		1000000
B		1000000
B		1000000
B		1000000
AB		1000
B		1000000
B		1000000
B		0
B		1000000
B		1000000
AB		1000
AB		1001000
AB		1000
B		1000000
B		0
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1001000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
AB		1001000
B		1000000
AB		1000
AB		1000
AB		1000
B		1000000
B		1000000
AB		1001000
AB		1000
B		1000000
B		1000000
B		1000000
AB		1000
B		1000000
B		1000000
B		1000000
B		1000000
AB		1000
AB		1000
B		1000000
AB		1000
B		1000000
AB		1000
AB		1000
B		1000000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1001000
AB		1000
AB		1000
B		1000000
AB		1000
AB		1000
B		1000000
AB		1000
B		1000000
B		0
AB		1000
B		1000000
B		1000000
B		1000000
AB		1001000
B		1000000
AB		1000
B		1000000
AB		1000
AB		1000
B		1000000
AB		1001000
B		1000000
B		1000000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1000
AB		1000
AB		1000
B		0
B		1000000
AB		1000
B		1000000
B		1000000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1000
B		1000000
B		1000000
B		1000000
AB		1001000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1001000
B		1000000
B		1000000
B		1000000
AB		1000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
AB		1000
B		1000000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1001000
B		1000000
B		1000000
B		1000000
AB		1000
AB		1000
B		0
AB		1000
B		1000000
B		1000000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
AB		1000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1000
AB		1000
B		1000000
B		1000000
B		1000000
AB		1000
B		1000000
AB		1000
B		0
AB		1000
B		1000000
AB		1000
AB		1000
B		1000000
B		1000000
B		1000000
AB		1000
AB		1000
B		1000000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1000
B		1000000
AB		1000
B		1000000
B		1000000
B		1000000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
B		1000000
AB		1000
B		1000000
B		0
AB		1001000
B		1000000
B		1000000
B		1000000
AB		1000
B		1000000
B		1000000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1000
B		1000000
AB		1000
B		0
B		1000000
AB		1000
B		1000000
B		1000000
AB		1000
AB		1000
B		1000000
B		1000000
B		1000000
B		1000000
B		1000000
B		1000000
B		1000000
B		1000000
AB		1000
AB		1000
B		1000000
AB		1000
AB		1000
B		1000000
B		1000000
B		1000000
B		1000000
B		1000000
B		1000000
B		0
B		0
B		1000000
AB		1000
B		1000000
B		1000000
B		1000000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1000
AB		1001000
AB		1000
B		1000000
AB		1000
AB		1001000
AB		1000
B		1000000
AB		1000
AB		1000
B		1000000
B		1000000
B		1000000
B		1000000
B		0
B		1000000
AB		1000
AB		1000
B		1000000
AB		1000
B		0
B		1000000
B		1000000
B		1000000
AB		1000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1000
B		1000000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1001000
B		1000000
AB		1000
AB		1000
AB		1001000
B		1000000
B		1000000
AB		1000
AB		1000
AB		1000
B		0
AB		1000
AB		1000
B		1000000
B		1000000
B		1000000
B		1000000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
AB		1000
B		1000000
B		1000000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
AB		1000
B		1000000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
B		1000000
B		1000000
B		1000000
AB		1000
AB		1000
B		1000000
B		1000000
B		1000000
AB		1000
AB		1000
B		1000000
AB		1000
AB		1000
AB		1000
B		0
AB		1000
AB		1000
B		1000000
AB		1000
AB		1000
B		1000000
B		1000000
B		1000000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1000
AB		1001000
AB		1000
B		1000000
AB		1000
B		1000000
AB		1000
AB		1000
AB		1000
B		1000000
B		1000000
AB		1000
AB		1000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1000
AB		1000
AB		1000
B		1000000
B		1000000
B		1000000
B		1000000
AB		1000
AB		1000
B		1000000
AB		1000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1001000
AB		1000
AB		1000
B		1000000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1001000
AB		1000
AB		1000
B		1000000
AB		1000
AB		1000
B		1000000
B		1000000
B		1000000
AB		1000
AB		1000
B		1000000
B		1000000
AB		1000
B		1000000
AB		1000
B		1000000
B		1000000
B		1000000
B		1000000
B		1000000
B		0
AB		1000
B		1000000
AB		1000
AB		1000
AB		1000
B		1000000
B		1000000
AB		1001000
B		1000000
B		1000000
B		1000000
B		0
B		1000000
B		1000000
B		1000000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1000
B		1000000
B		1000000
B		1000000
AB		1000
AB		1000
B		1000000
B		0
AB		1000
AB		1000
B		1000000
B		1000000
B		1000000
AB		1000
B		1000000
AB		1001000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1000
B		1000000
B		0
B		1000000
AB		1000
AB		1000
B		1000000
B		1000000
B		1000000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
B		1000000
B		0
B		1000000
B		1000000
AB		1001000
AB		1000
AB		1000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1000
AB		1000
AB		1001000
AB		1000
B		1000000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
B		1000000
AB		1000
B		1000000
B		1000000
B		0
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
B		0
AB		1000
AB		1000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1000
AB		1000
B		0
AB		1000
B		1000000
AB		1000
B		1000000
AB		1000
AB		1000
B		1000000
B		1000000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1000
B		1000000
B		1000000
B		1000000
B		0
AB		1000
B		1000000
AB		1000
B		1000000
B		1000000
B		1000000
AB		1000
B		1000000
B		1000000
B		1000000
B		0
B		1000000
AB		1001000
B		1000000
B		1000000
B		1000000
B		1000000
B		1000000
B		1000000
AB		1000
AB		1000
B		1000000
AB		1000
B		1000000
B		1000000
AB		1000
AB		1000
AB		1000
AB		1000
AB		1000
AB		1000
B		0
AB		1000
AB		1000
AB		1000
B		1000000
AB		1000
AB		1000
B		1000000
B		1000000
B		1000000
AB		1000
B		1000000
B		1000000
B		1000000
AB		1000
B		1000000
AB		1001000
B		1000000
